Number, Misorientation x, Relative Distance x, Misorientation y, Relative Distance y
1, , , ,
, 0.922385, 70.0, 0.741777, 51.9615
, 1.34203, 195.141, 0.716005, 208.0385
, 0.976386, 369.918, 1.6847, 155.813
, 1.60376, 69.994, 1.11136, 34.631
, 1.11136, 195.114, 0.923233, 34.633
, 2.42979, 29.994, 0.848576, 34.634
, 1.26424, 339.959, 1.11978, 199.247
, 0.753814, 139.99, 0.780845, 164.614
, 0.846729, 19.99, 0.986753, 43.412
, 0.708864, 10.0, 1.2599, 43.171
, 0.888674, 10.0, 1.13608, 112.665
, 1.05647, 10.0, 1.02412, 51.95
, 0.979587, 15.13, 0.79031, 34.63
, 0.77329, 59.99, , 
, 1.28024, 39.99, , 
, 1.68632, 129.99, , 
2, , , ,
, 0.988338, 40.0, 0.866827, 51.9615
, 0.707759, 393.128, 1.87909, 199.2355
, 0.806971, 170.859, 0.764127, 164.615
, 1.17136, 125.191, 1.11347, 17.316
, 1.02182, 45.677, , 
3, , , ,
, 0.760018, 295.127, , 
, 0.780344, 75.278, , 
, 0.715458, 19.979, , 
, 1.02488, 470.313, , 
, 0.760018, 185.203, , 
4, , , ,
, 1.04005, 113.578, 0.816613, 50.0
, 0.89613, 18.71, 0.737013, 185.16
, 0.954496, 17.044, 0.82377, 39.976
, 0.816613, 52.905, 0.858662, 19.991
, 0.827089, 69.976, 1.24301, 79.973
, 1.5861, 149.332, 1.28755, 79.982
, 0.808909, 18.796, 0.99544, 39.994
, 1.07192, 175.776, 0.891752, 19.997
, 0.705544, 430.923, 2.93158, 75.181
, , , 0.997011, 29.988
, , , 1.18729, 19.992
, , , 0.714911, 39.987
, , , 0.724157, 39.987
, , , 2.73008, 29.992
, , , 0.711069, 49.988
, , , 1.25492, 19.995
, , , 2.07245, 29.994
, , , 0.819961, 15.213
, , , 0.819961, 9.996
, , , 0.851798, 9.995
, , , 0.858662, 9.996
, , , 0.714364, 19.992
, , , 0.954086, 49.981
, , , 1.07119, 79.97
, , , 0.866827, 39.99
, , , 0.859573, 20.0
, , , 0.751734, 109.97
, , , 0.800153, 155.16
, , , 0.70165, 29.99
5, , , ,
, 1.09146, 30.0, 1.07374, 127.671
, 1.31968, 435.188, 0.976386, 49.247
, 1.07447, 160.831, 0.717643, 16.214
, 0.811324, 19.814, 3.16805, 29.579
, 1.03514, 186.813, 3.95052, 55.677
, 0.855008, 176.904, 0.924504, 26.079
, 1.15182, 35.87, 1.06899, 45.819
, 1.09432, 75.47, 0.912574, 35.978
, 1.41858, 25.98, 0.729005, 45.824
, , , 0.729005, 19.686
, , , 2.26918, 19.713
, , , 0.973576, 45.814
, , , 0.952855, 19.728
, , , 0.727393, 101.485
, , , 2.26987, 52.21
, , , 0.751214, 19.698
, , , 0.708864, 85.254
, , , 0.822344, 35.949
, , , 1.08498, 26.105
, , , 0.836499, 29.569
, , , 0.775817, 26.101
, , , 0.981982, 85.249
, , , 0.935445, 16.241
, , , 1.05573, 294.61
, , , 0.701092, 65.53
, , , 1.95745, 19.71
, , , 2.32793, 26.1
, , , 0.946674, 35.97
, , , 2.25394, 55.67
, , , 1.23099, 29.56
, , , 0.784345, 35.97
, , , 1.99292, 121.2
, , , 0.827089, 183.26
, , , 0.92196, 45.82
, , , 0.889994, 39.42
, , , 1.08101, 163.56
, , , 0.740193, 95.09
, , , 0.801619, 35.96
, , , 0.859118, 16.25
, , , 1.12813, 55.68
, , , 0.843487, 147.3
, , , 0.804056, 19.71
, , , 0.858206, 29.57
, , , 0.748604, 62.06
, , , 2.82563, 111.35
, , , 0.955725, 19.71
, , , 2.35119, 55.67
, , , 0.999364, 26.11
, , , 1.26671, 19.71
, , , 0.900486, 16.25
, , , 1.33354, 45.82
, , , 0.836031, 9.85
, , , 1.85604, 29.57
, , , 0.745461, 26.1
, , , 1.24238, 85.24
, , , 0.92957, 183.27
6, , , ,
, 0.878932, 494.874, 0.707206, 121.655
, 0.771263, 29.721, 4.04506, 781.728
, 4.40611, 262.298, 0.783846, 677.347
7, , , ,
, 0.729542, 232.594, 1.2278, 10.0001
, 0.836499, 9.893, 1.15012, 16.4576
, 0.713816, 163.469, 0.766172, 25.504
, 1.21305, 49.346, 1.00717, 17.3205
, 0.758988, 16.185, 0.706652, 78.0268
, 0.959812, 45.814, 0.750692, 77.858
, 0.729542, 19.728, 0.927884, 60.665
, 0.839767, 55.677, 0.833687, 86.593
, 0.728468, 294.593, 0.854092, 17.318
, 1.08426, 370.001, 0.747558, 34.639
, , , 0.808909, 17.319

, 1.0626246842105262, 136.2115438596491, 1.1417942931034488, 71.09421551724138