1; ; ; ;
; 0.703878; 315.119; 1.4161; 51.9615
; 0.831807; 69.978; 1.68051; 17.3205
; 0.782847; 99.98; 0.760018; 43.412
; 0.725777; 205.14; 0.701092; 17.306
; 0.788823; 99.973; 0.909567; 338.615
2; ; ; ;
; 0.792288; 314.325; 2.15595; 180.278
; 0.757956; 79.248; 0.810841; 9.722
; 0.813732; 52.857; 0.906118; 88.747
; 1.94883; 497.869; ; 
; 0.796722; 130.731; ; 
; 0.895693; 26.42; ; 
; 0.735951; 26.42; ; 
; 0.766683; 314.32; ; 
; 0.705544; 52.84; ; 
; 1.23131; 69.99; ; 
; 0.986356; 132.12; ; 
3; ; ; ;
; 0.874916; 20.0; 5.20684; 17.3205
; 0.8816; 20.0; 5.41204; 69.8575
; 1.13712; 60.0; 1.96324; 115.059
; 0.742304; 10.0; 1.59446; 175.784
; 0.916426; 10.0; 0.986356; 209.942
; 2.96108; 135.147; 0.841629; 132.245
; 2.91443; 29.985; 1.13643; 34.179
; 0.735951; 95.263; 0.847653; 43.548
; 1.32057; 139.893; ; 
4; ; ; ;
; 1.07666; 355.106; 0.882044; 10.0
; 1.183; 39.989; 0.717097; 24.641
; 1.16062; 29.993; 0.734354; 529.363
; ; ; 0.707759; 78.102
; ; ; 1.21627; 17.288
; ; ; 1.04005; 17.289
; ; ; 0.888234; 43.525
; ; ; 0.74651; 190.781
5; ; ; ;
; 0.945019; 30.0; 1.01182; 9.99997
; 0.902657; 60.0; 0.708864; 35.82583
; 1.28573; 165.147; 0.714364; 19.7486
; ; ; 1.0408; 278.3736
6; ; ; ;
; 1.01914; 20.0; 0.883817; 225.167
; 0.886911; 20.0; 0.977187; 17.32
; 6.54748; 90.0; 0.703322; 1013.343
; 1.00717; 870.15; 0.785343; 173.19
; 0.776321; 20.0; 0.781847; 17.32
; 0.874021; 365.09; 0.718188; 129.95
; 0.719821; 209.97; 0.944605; 363.84
; ; ; 0.823295; 147.14
; ; ; 0.737544; 69.28
; ; ; 0.714364; 398.46
; ; ; 0.878932; 121.24
; ; ; 0.782847; 173.19
; ; ; 0.745461; 51.96
; ; ; 0.901789; 242.59
7; ; ; ;
; 1.70042; 34.6409; 0.728468; 43.589
; 0.758472; 69.7621; 0.735951; 406.744
; 0.72145; 320.685; 0.732753; 103.923
; 0.789815; 95.392; 0.767193; 268.483
; 0.805515; 251.595; ; 
; 0.772278; 138.913; ; 
; 2.25533; 243.262; ; 
8; ; ; ;
; 0.703878; 10.0; 0.737013; 52.9149
; 1.03665; 30.0; 0.803082; 451.8621
; 1.35162; 125.227; 0.735419; 130.754
; ; ; 0.702765; 217.932
; ; ; 0.756922; 156.087
; ; ; 0.709967; 79.07
; ; ; 1.40026; 34.46

; 1.1672619166666667; 137.55291666666668; 1.0929310188679247; 148.86873584905658